date,fighter,opp_fighter,result,avg_odds, opp_avg_odds
2025-10-18,Reinier de Ridder,Brendan Allen,0, -250, +200
2025-10-18,Kevin Holland,Mike Malott,0, -110, -110
2025-10-18,Marlon Vera,Aiemann Zahabi,0, +115, -135
2025-10-18,Manon Fiorot,Jasmine Jasudavicius,1, -235, +190
2025-10-18,Charles Jourdain,Davey Grant,1, -180, +150
2025-10-18,Kyle Nelson,Matt Frevola,1, -125, +105
2025-10-18,Kyle Prepolec,Drew Dober,0, +240, -300
2025-10-18,Cody Gibson,Aoriqileng,0, -200, +170
2025-10-18,Bruno Silva,HyunSung Park,1, +180, -220
2025-10-18,Danny Barlow,Djorden Santos,0, -260, +210
2025-10-18,Stephanie Luciano,Ravena Oliveira,1, -300, +240
2025-10-18,Azamat Bekoev,Yousri Belgaroui,0, -300, +240
2025-10-18,Melissa Croden,Tainara Lisboa,1, -140, +120
2025-10-25,Virna Jandiroba,Mackenzie Dern,0, +125, -150
2025-10-25,Umar Nurmagomedov,Mario Bautista,1, -700, +450
2025-10-25,Alexander Volkov,Jailton Almeida,1, +165, 195
2025-10-25,Aleksandar Rakic,Azamat Murzakanov,0, -120, 100
2025-10-25,Nasrat Haqparast,Quillan Salkilld,0, -105, -115
2025-10-25,Ikram Aliskerov,JunYong Park,1, -220, +180
2025-10-25,Ludovit Klein,Mateusz Rębecki,1, -155, +130
2025-10-25,Valter Walker,Louie Sutherland,1, -450, +325
2025-10-25,Nathaniel Wood,Jose Miguel Delgado,1, +120, -140
2025-10-25,Hamdy Abdelwahab,Chris Barnett,1, -450, +325
2025-10-25,Azat Maksum,Mitch Raposo,0, -200, +375
2025-10-25,Jaqueline Amorim,Mizuki,0, -525, +360
2025-11-01,Steve Garcia,David Onama,1, -135, +115
2025-11-01,Waldo Cortes-Acosta,Ante Delija,1, +105, -125
2025-11-01,Jeremiah Wells,Themba Gorimbo,1, +135, -160
2025-11-01,Isaac Dulgarian,Yadier del Valle,0, -140, +120
2025-11-01,Charles Radtke,Daniel Frunza,1, -175, +145
2025-11-01,Allan Nascimento,Cody Durden,1, -320, +250
2025-11-01,Billy Elekana,Kevin Christian,1, -270, +220
2025-11-01,Timmy Cuamba,ChangHo Lee,1, -110, -110
2025-11-01,Donte Johnson,Sedriques Dumas,1, -350, +270
2025-11-01,Ketlen Vieira,Norma Dumont,0, +130, -155
2025-11-01,Alice Ardelean,Montserrat Conejo Ruiz,1, -320, +250
2025-11-01,Phil Rowe,Seokhyeon Ko,0, +150, -180
2025-11-01,Talita Alencar,Ariane Carnelossi,1, -200, +170
2025-11-08,Gabriel Bonfim,Randy Brown,1,-160,+135
2025-11-08,Matt Schnell,Joseph Morales,0,+350,-500
2025-11-08,Muslim Salikhov,Uros Medic,0,+110,-130
2025-11-08,Chris Padilla,Ismael Bonfim,1,-115,-105
2025-11-08,Christian Leroy Duncan,Marco Tulio,1,+135,-160
2025-11-08,Hyder Amil,Jamall Emmers,0,-150,+125
2025-11-08,Ricky Simon,Raoni Barcelos,0,-195,+165
2025-11-08,Mayra Bueno Silva,Jacqueline Cavalcanti,0,+180,-220
2025-11-08,Josh Hokit,Max Gimenis,1,-400,+300
2025-11-08,Tecia Pennington,Denise Gomes,0,+150,-180
2025-11-08,Miles Johns,Daniel Marcos,0,+150,-180
2025-11-08,Zachary Reese,Jackson McVey,1,-250,+200
2025-11-15,Jack Della Maddalena,Islam Makhachev,0,+270,-310
2025-11-15,Valentina Shevchenko,Zhang Weili,1,-145,+130
2025-11-15,Sean Brady,Michael Morales,0,-150,+135
2025-11-15,Leon Edwards,Carlos Prates,0,+140,-160
2025-11-15,Beneil Dariush,Benoît Saint Denis,0,+190,-220
2025-11-15,Bo Nickal,Rodolfo Vieira,1,-255,+220
2025-11-15,Roman Kopylov,Gregory Rodrigues,0,+160,-190
2025-11-15,Erin Blanchfield,Tracy Cortez,1,-400,+300
2025-11-15,Malcolm Wellmaker,Ethyn Ewing,0,-400,+300
2025-11-15,Kyle Daukaus,Gerald Meerschaert,1,-500,+350
2025-11-15,Pat Sabatini,Chepe Mariscal,1,-125,+105
2025-11-15,Angela Hill,Fatima Kline,0,+400,-600
2025-11-15,Baisangur Susurkaev,Eric McConico,1,-1500,+750
2025-11-15,Viacheslav Borshchev,Matheus Camilo,0,+145,-175
2025-11-22,Arman Tsarukyan,Dan Hooker,1,-800,+500
2025-11-22,Belal Muhammad,Ian Machado Garry,0,+260,-330
2025-11-22,Volkan Oezdemir,Alonzo Menifield,1,-220,+180
2025-11-22,Jack Hermansson,Myktybek Orolbai,0,+160,-190
2025-11-22,Waldo Cortes-Acosta,Shamil Gaziev,1,-170,+140
2025-11-22,Tagir Ulanbekov,Kyoji Horiguchi,0,-235,+190
2025-11-22,Bogdan Grad,Luke Riley,0,+190,-235
2025-11-22,Nicolas Dalby,Saygid Izagakhmaev,1,+260,-350
2025-11-22,Alex Perez,Asu Almabayev,0,+180,-220
2025-11-22,Abdul-Rakhman Yakhyaev,Rafael Cerqueira,1,-3000,+1000
2025-11-22,Bekzat Almakhan,Aleksandre Topuria,0,+120,-140
2025-11-22,Ismail Naurdiev,Ryan Loder,1,-130,+110
2025-11-22,Nurullo Aliev,Shem Rock,1,-320,+250
2025-11-22,Marek Bujlo,Denzel Freeman,0,+190,-235
2025-
